resolucao	amostra	area_total	percentual	perc_dif	area_dif	pixel_modis	omissao	omissao_perc		comissao	comissao_perc	dif_omitcomit	total_error
res_1_m	homogenea	9685,767254	97,9779690945365	2,0220309054635	199,890636999999	32							
Res_5_m	homogenea	9683,443549	98,0069397444567	1,99306025554328	196,968462999999	32							
Res_10_m	homogenea	9685,547611	97,8006841850702	2,19931581492975	217,810493999999	35							
Res_50_m	homogenea	9662,464115	97,4525822759191	2,5474177240809	253,18613	41							
res_1_to_250	homogenea	9643,520025	97,310346383635	2,68965361636504	267,713597999998	43	567,987464	5,86415788628462		835,669842	8,62783107884671	2,76367319256208	14,4919889651313
Res_5_to_250	homogenea	9633,192923	97,4114635195383	2,58853648046174	257,381493999999	41	577,32253	5,96053730374107		834,672311	8,61753212041677	2,65699481667569	14,5780694241578
Res_10_to_250	homogenea	9617,686906	97,310346383635	2,68965361636504	267,713597999998	43	567,987464	5,86415788628462		835,669842	8,62783107884671	2,76367319256208	14,4919889651313
Res_50_to_250	homogenea	9684,844279	97,3610978998129	2,63890210018715	262,525147999999	42	583,247005	6,02170424666738		835,669842	8,62783107884671	2,60612683217932	14,6495353255141
mapa sintese	homogenea	9685,746445	100	0	0								
res_1_m	heterogenea	4053,122751	99,9987616708626	0,001238329137394	0,050190999999813	0							
Res_5_m	heterogenea	4052,377762	100,017145440055	-0,017145440055359	-0,694797999999992	0							
Res_10_m	heterogenea	4056,801347	99,9080855412662	0,091914458733783	3,72878700000001	1							
Res_50_m	heterogenea	4099,557812	98,8660910729462	1,13390892705382	46,4852519999999	7							
res_1_to_250	heterogenea	3991,377632	101,545705109569	-1,54570510956856	-61,6949279999999	10	984,870619	24,2993581886429		923,178484	22,7772503534948	-1,52210783514816	47,0766085421377
Res_5_to_250	heterogenea	4011,381843	101,039310607459	-1,03931060745941	-41,6907169999999	7	973,499076	24,0187922024273		931,810656	22,9902288253137	-1,02856337711358	47,009021027741
Res_10_to_250	heterogenea	3986,371725	101,673221656217	-1,67322165621673	-66,7008350000001	11	989,966256	24,425081005705		923,268557	22,7794726921938	-1,64560831351117	47,2045536978988
Res_50_to_250	heterogenea	4106,418831	98,700905260874	1,29909473912598	53,3462709999999	9	957,024664	23,6123249666174		1010,372408	24,9285546469467	1,31622968032924	48,5408796135641
mapa sintese	heterogenea	4053,07256	100	0	0								
