resolucao	amostra	Value	Var
res_1_to_250	homogenea	97,310346383635	percentual
Res_5_to_250	homogenea	97,4114635195383	percentual
Res_10_to_250	homogenea	97,310346383635	percentual
Res_50_to_250	homogenea	97,3610978998129	percentual
res_1_to_250	heterogenea	101,545705109569	percentual
Res_5_to_250	heterogenea	101,039310607459	percentual
Res_10_to_250	heterogenea	101,673221656217	percentual
Res_50_to_250	heterogenea	98,700905260874	percentual
res_1_to_250	homogenea	8,62783107884671	comissao_perc
Res_5_to_250	homogenea	8,61753212041677	comissao_perc
Res_10_to_250	homogenea	8,62783107884671	comissao_perc
Res_50_to_250	homogenea	8,62783107884671	comissao_perc
res_1_to_250	heterogenea	22,7772503534948	comissao_perc
Res_5_to_250	heterogenea	22,9902288253137	comissao_perc
Res_10_to_250	heterogenea	22,7794726921938	comissao_perc
Res_50_to_250	heterogenea	24,9285546469467	comissao_perc
res_1_to_250	homogenea	5,86415788628462	omissao_perc
Res_5_to_250	homogenea	5,96053730374107	omissao_perc
Res_10_to_250	homogenea	5,86415788628462	omissao_perc
Res_50_to_250	homogenea	6,02170424666738	omissao_perc
res_1_to_250	heterogenea	24,2993581886429	omissao_perc
Res_5_to_250	heterogenea	24,0187922024273	omissao_perc
Res_10_to_250	heterogenea	24,425081005705	omissao_perc
Res_50_to_250	heterogenea	23,6123249666174	omissao_perc
res_1_to_250	homogenea	2,68965361636504	perc_dif
Res_5_to_250	homogenea	2,58853648046174	perc_dif
Res_10_to_250	homogenea	2,68965361636504	perc_dif
Res_50_to_250	homogenea	2,63890210018715	perc_dif
res_1_to_250	heterogenea	-1,54570510956856	perc_dif
Res_5_to_250	heterogenea	-1,03931060745941	perc_dif
Res_10_to_250	heterogenea	-1,67322165621673	perc_dif
Res_50_to_250	heterogenea	1,29909473912598	perc_dif
res_1_to_250	homogenea	2,76367319256208	dif_omitcomit
Res_5_to_250	homogenea	2,65699481667569	dif_omitcomit
Res_10_to_250	homogenea	2,76367319256208	dif_omitcomit
Res_50_to_250	homogenea	2,60612683217932	dif_omitcomit
res_1_to_250	heterogenea	-1,52210783514816	dif_omitcomit
Res_5_to_250	heterogenea	-1,02856337711358	dif_omitcomit
Res_10_to_250	heterogenea	-1,64560831351117	dif_omitcomit
Res_50_to_250	heterogenea	1,31622968032924	dif_omitcomit
res_1_to_250	homogenea	14,4919889651313	total_error
Res_5_to_250	homogenea	14,5780694241578	total_error
Res_10_to_250	homogenea	14,4919889651313	total_error
Res_50_to_250	homogenea	14,6495353255141	total_error
res_1_to_250	heterogenea	47,0766085421377	total_error
Res_5_to_250	heterogenea	47,009021027741	total_error
Res_10_to_250	heterogenea	47,2045536978988	total_error
Res_50_to_250	heterogenea	48,5408796135641	total_error
